product_id,user_id,category_id,product_name,value,up_for_trade,public
53,53,21,Lincoln Town Car,1578,False,False
54,54,43,Trabant,8802,True,True
55,55,10,Subaru Legacy,1643,False,True
56,56,58,Volkswagen Santana,5857,False,True
57,57,28,Smart Fortwo,1844,False,True
58,58,32,Frazer Standard,4890,True,False
59,59,11,Metropolitan,9575,False,True
60,60,57,Subaru Legacy,9632,True,True
61,61,86,Alpine A310,1365,False,True
62,62,9,Checker Marathon,1577,True,False
63,63,58,Bugatti Type 40,3591,True,False
64,64,96,Mazda MX-5,9199,False,True
65,65,67,Lotus Elise,6703,False,True
66,66,11,McLaren 12C,2178,True,False
67,67,9,Nissan Z-cars,1778,True,False
68,68,74,Perodua Myvi,6535,True,True
69,69,2,Toyota Corolla,9256,True,False
70,70,12,SEAT Ibiza,3724,False,False
71,71,12,Ford Model T,9136,True,False
72,72,45,Bugatti Type 40,4139,False,True
73,73,71,Ford Falcon,7664,False,True
74,74,94,Perodua Myvi,8547,False,True
75,75,20,Chevrolet Impala,6908,True,True
76,76,52,Rolls-Royce Silver Shadow,3121,True,True
77,77,19,Volkswagen Beetle,5228,True,False
78,78,81,Toyota Corolla,3271,False,False
79,79,94,Renault Clio,9698,False,False
80,80,48,Perodua Myvi,6097,True,False
81,81,67,Mercury Grand Marquis,4040,False,False
82,82,56,Perodua Myvi,5308,True,True
83,83,51,Chevrolet Impala,3848,True,False
84,84,61,Imperial Crown,8075,False,False
85,85,21,Porsche 911 GT3 Cup,8318,True,False
86,86,98,SEAT Ibiza,9166,False,False
87,87,88,Renault Symbol,3390,True,True
88,88,11,Volkswagen Santana,3418,False,True
89,89,2,Jeep Cherokee (XJ),7374,False,True
90,90,31,Ford F-Series,218,True,False
91,91,65,Škoda Octavia,156,False,True
92,92,54,Alfa Romeo Alfasud,8340,True,False
93,93,78,Škoda Octavia,5642,True,True
94,94,56,Honda Civic,2658,False,False
95,95,76,Henry J Deluxe,7208,True,True
96,96,35,Renault Clio,4733,False,False
97,97,93,Cadillac De Ville,8706,False,True
98,98,94,Škoda Octavia,8763,False,True
99,99,16,Volvo 200 Series,714,False,True
100,100,37,Volkswagen Santana,9484,False,True
101,101,12,Mazda MX-5,3803,True,False
102,102,19,SEAT Ibiza,2820,False,True
103,103,49,Porsche 911 GT3 Cup,6123,True,True
104,104,32,Continental Mark II,1713,True,False
105,105,83,Nissan Z-cars,8088,True,True
106,106,12,Plymouth Fury,9269,True,True
107,107,51,Plymouth Fury,1294,False,True
108,108,71,Porsche 911 GT3 Cup,9973,True,False
109,109,7,Dodge Coronet,140,False,True
110,110,62,Alfa Romeo Alfasud,5686,True,True
111,111,17,Ford F-Series,6474,True,False
112,112,72,SEAT Ibiza,900,False,False
113,113,57,Excalibur Series II,1937,False,False
114,114,49,Lancia Ypsilon,3953,True,False
115,115,10,Ford F-Series,7222,False,False
116,116,95,Saab 900,7810,True,True
117,117,8,Lincoln Town Car,8944,False,False
118,118,74,Studebaker Champion,8882,False,True
119,119,59,Lincoln Town Car,684,False,False
120,120,90,Holden Commodore,5825,True,True
121,121,39,Renault Symbol,5369,True,True
122,122,73,Volkswagen Golf,6532,False,True
123,123,69,Edsel Ranger,6304,False,False
124,124,60,Bugatti Type 40,8017,False,False
125,125,2,Dodge Coronet,4798,False,True
126,126,52,Toyota Corolla,9168,False,True
127,127,78,Crosley,7700,False,False
128,128,84,Volvo 200 Series,6154,True,False
129,129,51,Volkswagen Beetle,1498,True,False
130,130,66,Excalibur Series II,5216,True,False
131,131,73,Buick LeSabre,929,True,True
132,132,78,Renault Symbol,4400,True,False
133,133,89,Hindustan Ambassador,6834,True,False
134,134,70,Lancia Ypsilon,708,True,False
135,135,38,Zaporozhets,152,True,True
136,136,54,Lotus Elise,1840,False,True
137,137,85,Perodua Myvi,6402,True,False
138,138,96,DeSoto Custom,8701,True,True
139,139,50,Škoda Octavia,867,False,True
140,140,9,BMW 3 Series,5801,False,True
141,141,19,Mazda MX-5,4870,False,False
142,142,44,Toyota Prius,7350,True,True
143,143,75,Mazda MX-5,9303,False,False
144,144,67,Lamborghini Gallardo,7098,True,True
145,145,58,Ford Falcon,5921,True,False
146,146,81,Willys 77,3670,True,True
147,147,72,Edsel Ranger,1330,False,False
148,148,41,Nash Statesman,6470,True,True
149,149,83,Toyota Prius,8629,True,True
150,150,61,Morris Mini,2906,True,True
151,151,54,Toyota Corolla,6145,False,False
152,152,65,Toyota Prius,3061,True,True
153,153,19,Renault Symbol,9092,True,False
154,154,85,Willys 77,2218,True,False
155,155,96,Alpine A310,5425,False,False
156,156,63,Porsche 911,4353,True,True
157,157,63,Series/Defender,2362,True,False
158,158,33,Lotus Elise,5769,True,False
159,159,84,Mitsubishi Lancer,5668,False,True
160,160,73,Simca 1100,6023,False,True
161,161,41,Messerschmitt KR200,113,False,False
162,162,36,Oldsmobile Cutlass,6419,True,True
163,163,33,Chevrolet Impala,788,True,False
164,164,4,Edsel Ranger,6745,True,True
165,165,71,Toyota Corolla,1264,False,True
166,166,76,Trabant,2010,True,True
167,167,93,Hindustan Ambassador,5861,False,True
168,168,38,Bugatti Type 40,5368,False,True
169,169,63,Škoda Octavia,6909,True,False
170,170,53,Peugeot 206,7789,True,True
171,171,86,Perodua Myvi,6238,True,False
172,172,84,ZAZ Zaporozhets,2504,True,True
173,173,70,Autobianchi A112,8777,True,False
174,174,15,Mazda Familia,1085,True,True
175,175,1,Eagle Talon,5712,True,True
176,176,1,Jeep Cherokee (XJ),409,False,False
177,177,28,Chrysler Newport,9481,False,True
178,178,32,BMW 3 Series,2982,False,False
179,179,97,Mazda MX-5,520,True,False
180,180,90,Morris Mini,7353,True,True
181,181,3,Honda Civic,5184,False,False
182,182,24,Simca 1100,3008,False,True
183,183,69,Imperial Crown,1059,False,True
184,184,71,Rambler Classic,979,False,True
185,185,78,Eagle Talon,6372,True,False
186,186,13,Hudson Super,6826,False,False
187,187,29,Volkswagen Gol,2690,True,False
188,188,83,Studebaker Champion,3350,True,True
189,189,50,Holden Commodore,6042,True,False
190,190,63,Nissan Z-cars,3853,False,True
191,191,70,Saturn S-Series,2587,True,True
192,192,38,Saturn S-Series,691,False,True
193,193,88,Mitsubishi Lancer,4683,False,True
194,194,10,Messerschmitt KR200,4004,False,False
195,195,50,Ford F-Series,2403,False,True
196,196,80,Lancia Ypsilon,7417,False,False
197,197,36,Eagle Talon,7712,False,False
198,198,81,Lotus Elise,5015,False,False
199,199,9,Mazda Familia,8974,True,True
200,200,44,Opel Corsa,3514,False,False
201,201,35,Volkswagen Type 2,7393,True,False
202,202,70,Facellia,4348,False,True
203,203,42,Volvo 200 Series,250,True,False
204,204,98,Aston Martin DB7,5204,True,False
205,205,77,Peugeot 206,1607,False,False
206,206,90,Peugeot 206,7030,True,False
207,207,25,Porsche 911,3439,False,False
208,208,10,Volkswagen Golf,2291,False,True
209,209,97,Smart Fortwo,420,False,True
210,210,66,Rambler Classic,8912,True,True
211,211,44,Autobianchi A112,8016,True,True
212,212,56,Porsche 911 GT3 Cup,9720,True,True
213,213,31,Toyota Corolla,4017,True,True
214,214,3,Lotus Elise,9323,False,True
215,215,8,Mitsubishi Lancer,9818,True,True
216,216,32,Alfa Romeo Alfasud,258,True,False
217,217,59,Ferrari 360,2669,False,False
218,218,40,Toyota Corolla,6322,True,False
219,219,57,Citroën 2CV,8802,False,False
220,220,33,Volkswagen Golf,79,False,True
221,221,0,Subaru Legacy,9893,False,False
222,222,60,Chevrolet Impala,6116,True,False
223,223,56,Ferrari 360,2010,False,True
224,224,64,Facellia,8020,True,False
225,225,30,Honda Civic,9001,False,True
226,226,90,Mazda RX-7,6629,True,False
227,227,26,Subaru Legacy,2326,True,False
228,228,96,Porsche 911 GT3 Cup,2510,False,True
229,229,54,Volvo 200 Series,9855,True,False
230,230,67,Plymouth Fury,3515,False,True
231,231,86,Mitsubishi Lancer,6371,True,False
232,232,71,Hindustan Ambassador,892,False,True
233,233,60,Kaiser Deluxe,4619,False,True
234,234,39,Mitsubishi Lancer,8849,True,True
235,235,56,Rambler Classic,2804,True,False
236,236,26,Pontiac Grand Am,2407,False,False
237,237,21,SEAT Ibiza,5242,False,False
238,238,98,Lamborghini Gallardo,9122,True,False
239,239,83,Perodua Myvi,2149,False,True
240,240,15,McLaren 12C,2434,False,True
241,241,91,Škoda Octavia,4240,False,True
242,242,54,Lincoln Town Car,3435,True,True
243,243,29,Saturn S-Series,9050,False,False
244,244,97,Buick LeSabre,5351,True,False
245,245,94,Porsche 911,2223,True,True
246,246,76,Morris Mini,5131,False,False
247,247,42,Nissan Z-cars,5015,False,False
248,248,78,Alpine A310,1289,False,False
249,249,7,Mazda RX-7,4977,True,True
250,250,67,Koenigsegg CCX,4459,True,True
251,251,52,De Tomaso Pantera,5549,True,False
252,252,16,Mercedes-Benz C-Class,4583,True,False
253,253,71,ZAZ Zaporozhets,1152,False,False
254,254,20,Henry J Deluxe,2940,False,True
255,255,68,Studebaker Champion,4337,True,False
256,256,42,Mitsubishi Lancer,8163,True,False
257,257,60,Ford Falcon,5147,False,False
258,258,58,Lincoln Town Car,4242,False,False
259,259,62,Ford Model T,211,False,False
260,260,72,Frazer Standard,920,False,True
261,261,88,Morris Mini,7906,False,False
262,262,31,Cadillac De Ville,110,False,True
263,263,14,Volkswagen Type 2,8992,True,True
264,264,50,Checker Marathon,9859,True,False
265,265,92,Crosley,3900,False,False
266,266,72,Nash Statesman,6215,False,True
267,267,45,Ford Model T,8640,False,False
268,268,79,Lincoln Town Car,729,True,False
269,269,66,Ford F-Series,1531,True,False
270,270,32,Holden Commodore,8553,False,False
271,271,94,Chevrolet Impala,1862,True,True
272,272,3,Škoda Octavia,5362,False,False
273,273,75,Citroën 2CV,4115,False,False
274,274,97,Nissan Z-cars,5388,False,False
275,275,57,Imperial Crown,9946,False,True
276,276,56,Jaguar XJ,5613,False,False
277,277,12,Hindustan Ambassador,6437,True,True
278,278,26,Mazda RX-7,7998,False,False
279,279,98,Rolls-Royce Silver Shadow,1449,False,True
280,280,0,Messerschmitt KR200,8183,False,False
281,281,86,Ferrari 360,5697,False,True
282,282,87,Toyota Corolla,3081,False,False
283,283,57,ZAZ Zaporozhets,6034,True,False
284,284,37,SEAT Ibiza,9067,True,True
285,285,14,Series/Defender,6204,True,False
286,286,10,Eagle Talon,743,False,False
287,287,70,De Tomaso Pantera,9417,True,False
288,288,77,Lotus Elise,9007,True,True
289,289,63,Porsche 911 GT3 Cup,6081,True,True
290,290,9,Jeep Cherokee (XJ),8263,True,True
291,291,96,Kaiser Deluxe,4649,False,True
292,292,36,Nissan Z-cars,8856,False,False
293,293,90,Alfa Romeo Alfasud,1996,True,True
294,294,76,Holden Commodore,8553,True,False
295,295,3,Dodge Coronet,7525,True,False
296,296,63,Series/Defender,9095,True,True
297,297,39,Imperial Crown,167,False,False
298,298,26,BMW 3 Series,2624,True,False
299,299,57,Ferrari 360,6445,False,True
300,300,50,Series/Defender,6617,False,False
301,301,44,Renault Clio,6930,True,True
302,302,99,Toyota Prius,5371,True,False
303,303,46,Renault Symbol,1297,False,True
304,304,41,Facellia,1432,True,False
305,305,92,McLaren 12C,1020,False,False
306,306,98,Henry J Deluxe,6261,True,False
307,307,96,ZAZ Zaporozhets,763,False,True
308,308,61,Plymouth Fury,5851,False,True
309,309,19,Opel Corsa,1981,True,True
310,310,1,Nissan Z-cars,2247,False,False
311,311,76,Toyota Corolla,4094,False,True
312,312,25,Fiat Uno,2666,True,True
313,313,20,Trabant,6847,True,False
314,314,3,Perodua Myvi,5306,True,False
315,315,13,Toyota Corolla,4178,True,False
316,316,27,Mercury Grand Marquis,9967,False,True
317,317,37,De Tomaso Pantera,5933,True,False
318,318,36,Aston Martin DB7,9567,False,False
319,319,17,Volvo 200 Series,5243,True,True
320,320,8,Mazda Familia,6949,True,True
321,321,41,Oldsmobile Cutlass,5811,True,False
322,322,32,Ford F-Series,227,True,True
323,323,19,Morris Mini,1869,True,False
324,324,55,Alpine A310,5551,False,False
325,325,3,Toyota Corolla,6930,False,False
326,326,23,Peugeot 206,7334,False,False
327,327,16,Bugatti Type 40,9045,False,False
328,328,64,BMW 3 Series,5678,True,True
329,329,51,Peel Trident,4695,True,True
330,330,16,Chevrolet Impala,8084,True,True
331,331,98,Ford F-Series,1084,True,False
332,332,68,Edsel Ranger,6805,False,True
333,333,80,Imperial Crown,2490,True,False
334,334,68,Smart Fortwo,4743,True,False
335,335,60,Excalibur Series II,7876,True,True
336,336,4,Volkswagen Golf,8899,False,False
337,337,46,Volkswagen Golf,7058,False,False
338,338,87,Perodua Myvi,2499,False,False
339,339,94,Volkswagen Santana,9081,False,True
340,340,75,Volkswagen Golf,4270,False,True
341,341,70,Toyota Corolla,7855,False,True
342,342,33,Perodua Myvi,8677,True,False
343,343,23,Maserati Biturbo,5346,True,False
344,344,31,Buick LeSabre,5389,False,True
345,345,48,Renault Clio,4667,True,False
346,346,59,Lamborghini Gallardo,3553,True,False
347,347,6,Rambler Classic,6393,False,True
348,348,68,Fiat Uno,7528,False,True
349,349,54,SEAT Ibiza,9954,False,False
350,350,98,Jeep Cherokee (XJ),5816,True,True
351,351,71,Hudson Super,9948,True,True
352,352,21,Eagle Talon,366,True,False
353,353,77,Packard Eight,7392,False,False
354,354,14,De Tomaso Pantera,6838,True,False
355,355,83,Volkswagen Santana,3502,False,True
356,356,66,Dodge Coronet,9461,True,True
357,357,63,Henry J Deluxe,4527,False,False
358,358,12,Morris Mini,1753,False,False
359,359,53,Toyota Prius,9761,True,False
360,360,33,Koenigsegg CCX,2093,True,True
361,361,34,Ford F-Series,1240,True,False
362,362,91,Mercedes-Benz C-Class,3946,True,False
363,363,0,Hindustan Ambassador,9073,False,False
364,364,26,Opel Corsa,3917,True,True
365,365,23,McLaren 12C,4023,True,True
366,366,6,AMC Hornet,8070,False,False
367,367,10,Porsche 911,9991,False,False
368,368,51,Bugatti Type 40,4436,True,False
369,369,34,Mercedes-Benz C-Class,1922,True,True
370,370,60,Fiat Uno,3529,True,False
371,371,88,Willys 77,9352,False,False
372,372,82,Tesla Model S,1464,False,True
373,373,15,Ferrari 360,8491,True,False
374,374,62,Ferrari 360,6389,False,True
375,375,48,Perodua Myvi,972,True,True
376,376,58,Renault Symbol,9618,False,False
377,377,61,Hudson Super,7844,False,False
378,378,5,Excalibur Series II,9736,False,True
379,379,67,Volkswagen Type 2,5556,True,False
380,380,72,Volkswagen Gol,9827,True,False
381,381,70,Mazda MX-5,221,True,False
382,382,47,Opel Corsa,2772,True,False
383,383,33,Saab 900,3655,True,True
384,384,65,Chevrolet Impala,4035,False,True
385,385,50,Toyota Corolla,3871,True,False
386,386,11,Lincoln Town Car,4036,True,False
387,387,94,Chevrolet Impala,9491,False,True
388,388,76,Imperial Crown,9211,True,False
389,389,44,Hindustan Ambassador,5836,True,False
390,390,33,Jaguar XJ,2890,False,False
391,391,20,Perodua Myvi,6033,False,False
392,392,14,Fiat Uno,4219,True,True
393,393,37,Alfa Romeo Alfasud,9687,True,True
394,394,82,Mitsubishi Lancer,1108,False,False
395,395,88,Mazda MX-5,3086,False,True
396,396,78,Pontiac Grand Am,76,False,False
397,397,67,DeSoto Custom,6964,False,True
398,398,53,Crosley,4672,False,True
399,399,4,SEAT Ibiza,5818,True,False
400,400,34,Chevrolet Volt,2829,True,False
401,401,12,Smart Fortwo,8500,True,True
402,402,79,Bugatti Type 40,2451,False,True
403,403,63,Checker Marathon,4958,True,True
404,404,75,SEAT Ibiza,4742,False,True
405,405,89,De Tomaso Pantera,1740,False,True
406,406,37,De Tomaso Pantera,2463,True,False
407,407,9,Volkswagen Gol,7040,True,False
408,408,2,Cadillac De Ville,7257,True,True
409,409,15,Crosley,5038,True,False
410,410,56,BMW 3 Series,5691,True,False
411,411,30,Nissan Z-cars,1067,True,True
412,412,18,Volkswagen Type 2,3870,True,True
413,413,17,Facellia,5743,False,True
414,414,25,Dodge Coronet,7617,True,False
415,415,72,De Tomaso Pantera,7903,True,True
416,416,45,Volkswagen Golf,4941,True,False
417,417,78,Eagle Talon,7095,False,True
418,418,87,Lamborghini Gallardo,4094,False,True
419,419,44,Ford F-Series,1154,True,True
420,420,83,Volkswagen Gol,245,False,False
421,421,66,Trabant,3259,False,False
422,422,65,Volkswagen Golf,2168,True,True
423,423,66,Volkswagen Santana,6223,False,True
424,424,27,Facellia,4355,True,True
425,425,83,Volvo 200 Series,1345,True,True
426,426,52,Zaporozhets,4368,True,True
427,427,85,Volkswagen Type 2,5672,True,False
428,428,52,Škoda Octavia,3292,True,True
429,429,32,Porsche 911 GT3 Cup,4822,False,True
430,430,66,Nissan Leaf,172,True,True
431,431,53,SEAT Ibiza,4216,False,True
432,432,40,Fiat Uno,2377,True,True
433,433,57,Continental Mark II,9301,False,True
434,434,23,Honda Civic,97,True,True
435,435,12,Lada Riva,9247,True,True
436,436,59,Packard Eight,2610,False,True
437,437,13,Nissan Z-cars,6194,True,False
438,438,43,Chrysler Newport,8239,True,False
439,439,26,Cadillac De Ville,9084,False,False
440,440,39,Smart Fortwo,5309,True,True
441,441,25,Chevrolet Impala,4910,False,False
442,442,66,Rambler Classic,293,False,True
443,443,96,Maserati Biturbo,8805,True,False
444,444,51,Lada Riva,5693,False,False
445,445,93,Mazda RX-7,4892,True,False
446,446,26,Metropolitan,3742,True,True
447,447,94,Opel Corsa,1365,True,True
448,448,43,Tesla Model S,2838,False,True
449,449,43,Fiat Uno,2105,False,True
450,450,44,Nissan Z-cars,7989,True,True
451,451,47,Mazda MX-5,1199,True,True
452,452,73,Lancia Ypsilon,8259,False,True
453,453,4,Henry J Deluxe,6707,True,False
454,454,11,Eagle Talon,6905,False,True
455,455,91,Messerschmitt KR200,517,True,False
456,456,89,Frazer Standard,593,True,True
457,457,28,Imperial Crown,4646,False,True
458,458,61,Ford F-Series,8158,True,False
459,459,3,Mitsubishi Lancer,3742,True,True
460,460,73,Maserati Biturbo,5391,False,False
461,461,79,Perodua Myvi,9683,False,False
462,462,99,Koenigsegg CCX,6098,True,False
463,463,43,Chevrolet Volt,9864,False,True
464,464,51,Volvo 200 Series,6902,True,False
465,465,3,Rambler Classic,669,False,True
466,466,68,Zaporozhets,2595,False,False
467,467,95,McLaren 12C,9987,True,True
468,468,50,Renault Clio,8839,True,False
469,469,58,Autobianchi A112,5122,True,False
470,470,10,Chevrolet Impala,1952,True,False
471,471,86,Volkswagen Type 2,2295,True,True
472,472,7,Nissan Leaf,8748,True,False
473,473,13,Renault Clio,4016,True,True
474,474,53,Perodua Myvi,5210,True,False
475,475,39,Volkswagen Santana,5059,False,True
476,476,19,Nissan Leaf,7963,False,False
477,477,20,McLaren 12C,5522,True,True
478,478,32,Checker Marathon,1042,False,False
479,479,88,Peugeot 206,5483,False,False
480,480,86,Ferrari 360,4684,True,True
481,481,37,Continental Mark II,8510,False,True
482,482,97,Rambler Classic,8246,False,True
483,483,74,Aston Martin DB7,5950,False,True
484,484,29,Simca 1100,2979,False,False
485,485,70,Mazda RX-7,5266,True,True
486,486,29,Lotus Elise,8025,False,True
487,487,65,Nissan Leaf,1344,False,True
488,488,8,Imperial Crown,3668,False,True
489,489,41,Pontiac Grand Am,5830,True,False
490,490,19,Studebaker Champion,6342,True,False
491,491,89,Oldsmobile Cutlass,6775,False,False
492,492,83,Citroën 2CV,8227,True,True
493,493,9,Cadillac De Ville,5351,True,True
494,494,50,Studebaker Champion,5300,True,False
495,495,40,Volkswagen Santana,8017,False,True
496,496,68,Hindustan Ambassador,5089,False,False
497,497,65,Eagle Talon,510,False,True
498,498,87,Tesla Model S,7727,True,False
499,499,5,Chevrolet Impala,5260,True,False
500,500,92,Hudson Super,7621,False,True
501,501,49,Mercury Grand Marquis,7327,True,False
502,502,33,BMW 3 Series,969,True,False
503,503,83,Saab 900,3768,False,True
504,504,37,Pontiac Grand Am,5684,False,True
505,505,12,Continental Mark II,3183,False,False
506,506,41,Saab 900,4761,False,False
507,507,82,Bugatti Type 40,1244,True,False
508,508,69,Renault Clio,1352,True,False
509,509,29,Toyota Prius,4583,True,False
510,510,25,Kaiser Deluxe,9844,True,False
511,511,51,Studebaker Champion,6115,True,False
512,512,13,Alpine A310,667,False,True
513,513,54,Hudson Super,6850,False,False
514,514,28,Frazer Standard,4153,True,False
515,515,36,Lancia Ypsilon,8104,True,False
516,516,54,Perodua Myvi,6370,False,False
517,517,81,Volkswagen Beetle,8252,False,True
518,518,38,Continental Mark II,3883,False,False
519,519,59,Jeep Cherokee (XJ),2096,False,True
520,520,3,Perodua Myvi,9540,True,True
521,521,12,Subaru Legacy,420,False,False
522,522,86,Bugatti Type 40,7836,False,True
523,523,94,Kaiser Deluxe,9984,False,False
524,524,45,Hudson Super,4011,False,True
525,525,42,Maserati Biturbo,3383,True,False
526,526,45,Chevrolet Volt,6576,False,True
527,527,89,Eagle Talon,4779,True,False
528,528,7,Ford F-Series,887,True,False
529,529,21,Tesla Model S,4985,True,False
530,530,9,Eagle Talon,4152,False,False
531,531,97,Chevrolet Impala,4527,False,True
532,532,2,Lincoln Town Car,3242,True,True
533,533,19,Rambler Classic,9726,True,True
534,534,6,Hudson Super,6015,False,True
535,535,97,Chrysler Newport,311,False,False
536,536,40,Koenigsegg CCX,2996,False,True
537,537,57,Trabant,1262,False,False
538,538,54,Fiat Uno,4812,True,True
539,539,53,BMW 3 Series,8055,False,False
540,540,82,Peel Trident,2141,True,False
541,541,30,Volvo 200 Series,1263,True,False
542,542,36,Henry J Deluxe,4203,False,False
543,543,26,Lamborghini Gallardo,4635,True,False
544,544,5,Jeep Cherokee (XJ),626,True,True
545,545,67,Volkswagen Golf,4039,False,True
546,546,54,Maserati Biturbo,5439,False,True
547,547,36,Porsche 911,4276,True,False
548,548,9,Toyota Corolla,3367,False,False
549,549,23,Holden Commodore,4543,True,True
550,550,97,Fiat Uno,6093,False,False
551,551,93,Ford F-Series,4800,True,False
552,552,30,Chevrolet Impala,7438,True,False
553,553,0,Fiat Uno,4022,False,False
554,554,20,Facellia,9752,True,True
555,555,8,Alfa Romeo Alfasud,4486,True,True
556,556,29,Koenigsegg CCX,8804,True,True
557,557,61,Ford F-Series,8915,True,False
558,558,73,Buick LeSabre,9592,True,True
559,559,87,Volkswagen Type 2,1076,True,True
560,560,16,Nissan Leaf,9262,False,True
561,561,20,Volkswagen Golf,1259,True,True
562,562,17,Renault Symbol,7801,True,False
563,563,88,Ferrari 360,2413,False,True
564,564,23,Lotus Elise,3034,False,True
565,565,57,Continental Mark II,5674,False,False
566,566,45,Zaporozhets,5421,True,True
567,567,51,Facellia,7230,True,False
568,568,77,Ford Falcon,3802,False,True
569,569,54,Volkswagen Gol,3404,True,False
570,570,96,Frazer Standard,7225,False,False
571,571,86,Toyota Corolla,3214,True,True
572,572,96,Toyota Corolla,7096,True,True
573,573,16,Ferrari 360,7113,False,False
574,574,90,DeSoto Custom,569,True,True
575,575,36,Studebaker Champion,5696,True,True
576,576,5,Volkswagen Golf,9889,True,False
577,577,77,Toyota Corolla,5199,True,True
578,578,37,Aston Martin DB7,3693,True,True
579,579,12,Volkswagen Golf,6489,False,True
580,580,23,Volkswagen Golf,6883,True,True
581,581,81,Škoda Octavia,5763,False,False
582,582,43,Messerschmitt KR200,8373,False,False
583,583,94,Volkswagen Golf,2781,True,True
584,584,12,Chevrolet Volt,8279,True,False
585,585,9,De Tomaso Pantera,3237,True,False
586,586,37,Renault Symbol,1185,False,False
587,587,68,Volkswagen Golf,4463,True,False
588,588,37,Alpine A310,7462,False,False
589,589,35,Messerschmitt KR200,2006,True,True
590,590,67,Mercedes-Benz C-Class,7979,True,True
591,591,93,BMW 3 Series,6166,False,True
592,592,71,Lamborghini Gallardo,6947,True,True
593,593,80,Koenigsegg CCX,1276,False,True
594,594,12,Lotus Elise,7574,True,True
595,595,84,Ferrari 360,8341,False,True
596,596,58,Mitsubishi Lancer,7473,False,True
597,597,50,DeSoto Custom,1549,False,True
598,598,74,Hindustan Ambassador,75,True,False
599,599,75,Packard Eight,5261,True,True
600,600,72,Lamborghini Gallardo,6402,False,False
601,601,99,Honda Civic,772,False,True
602,602,5,Volkswagen Gol,6140,False,True
603,603,78,Tesla Model S,1528,True,True
604,604,22,Perodua Myvi,6794,False,False
605,605,99,Subaru Legacy,9406,True,False
606,606,60,Volvo 200 Series,681,False,False
607,607,69,Oldsmobile Cutlass,4510,False,False
608,608,22,Mazda MX-5,6353,False,False
609,609,48,Smart Fortwo,7549,False,True
610,610,11,Nissan Leaf,914,True,False
611,611,14,Smart Fortwo,759,False,True
612,612,51,Excalibur Series II,714,True,False
613,613,74,Fiat Uno,6370,True,True
614,614,58,Jaguar XJ,2773,True,False
615,615,39,Lincoln Town Car,9476,False,False
616,616,87,Alfa Romeo Alfasud,2321,True,False
617,617,23,Opel Corsa,3426,True,True
618,618,8,Crosley,4823,True,True
619,619,47,Ford Model T,3966,True,True
620,620,63,Volkswagen Beetle,5631,False,True
621,621,59,Peugeot 206,4284,True,True
622,622,2,Dodge Coronet,135,False,False
623,623,59,Alpine A310,5508,True,True
624,624,20,Oldsmobile Cutlass,9667,True,True
625,625,17,Chevrolet Impala,3504,True,False
626,626,5,Mercedes-Benz C-Class,4541,True,False
627,627,26,Edsel Ranger,9238,False,True
628,628,60,Edsel Ranger,4248,True,True
629,629,57,Checker Marathon,9884,False,False
630,630,43,Renault Clio,2222,False,True
631,631,70,Chevrolet Impala,8192,False,False
