product_id,image
18,https://paperclip.link/assets/testing/images/products/10.jpeg
18,https://paperclip.link/assets/testing/images/products/10i.jpeg
19,https://paperclip.link/assets/testing/images/products/10.jpeg
19,https://paperclip.link/assets/testing/images/products/10i.jpeg
20,https://paperclip.link/assets/testing/images/products/8.jpeg
20,https://paperclip.link/assets/testing/images/products/8i.jpeg
21,https://paperclip.link/assets/testing/images/products/2.jpeg
21,https://paperclip.link/assets/testing/images/products/2i.jpeg
22,https://paperclip.link/assets/testing/images/products/3.jpeg
22,https://paperclip.link/assets/testing/images/products/3i.jpeg
23,https://paperclip.link/assets/testing/images/products/1.jpeg
23,https://paperclip.link/assets/testing/images/products/1i.jpeg
24,https://paperclip.link/assets/testing/images/products/3.jpeg
24,https://paperclip.link/assets/testing/images/products/3i.jpeg
25,https://paperclip.link/assets/testing/images/products/1.jpeg
25,https://paperclip.link/assets/testing/images/products/1i.jpeg
26,https://paperclip.link/assets/testing/images/products/8.jpeg
26,https://paperclip.link/assets/testing/images/products/8i.jpeg
27,https://paperclip.link/assets/testing/images/products/7.jpeg
27,https://paperclip.link/assets/testing/images/products/7i.jpeg
28,https://paperclip.link/assets/testing/images/products/6.jpeg
28,https://paperclip.link/assets/testing/images/products/6i.jpeg
29,https://paperclip.link/assets/testing/images/products/2.jpeg
29,https://paperclip.link/assets/testing/images/products/2i.jpeg
30,https://paperclip.link/assets/testing/images/products/9.jpeg
30,https://paperclip.link/assets/testing/images/products/9i.jpeg
31,https://paperclip.link/assets/testing/images/products/7.jpeg
31,https://paperclip.link/assets/testing/images/products/7i.jpeg
32,https://paperclip.link/assets/testing/images/products/10.jpeg
32,https://paperclip.link/assets/testing/images/products/10i.jpeg
33,https://paperclip.link/assets/testing/images/products/6.jpeg
33,https://paperclip.link/assets/testing/images/products/6i.jpeg
34,https://paperclip.link/assets/testing/images/products/1.jpeg
34,https://paperclip.link/assets/testing/images/products/1i.jpeg
35,https://paperclip.link/assets/testing/images/products/3.jpeg
35,https://paperclip.link/assets/testing/images/products/3i.jpeg
36,https://paperclip.link/assets/testing/images/products/2.jpeg
36,https://paperclip.link/assets/testing/images/products/2i.jpeg
37,https://paperclip.link/assets/testing/images/products/4.jpeg
37,https://paperclip.link/assets/testing/images/products/4i.jpeg
38,https://paperclip.link/assets/testing/images/products/6.jpeg
38,https://paperclip.link/assets/testing/images/products/6i.jpeg
39,https://paperclip.link/assets/testing/images/products/5.jpeg
39,https://paperclip.link/assets/testing/images/products/5i.jpeg
40,https://paperclip.link/assets/testing/images/products/2.jpeg
40,https://paperclip.link/assets/testing/images/products/2i.jpeg
41,https://paperclip.link/assets/testing/images/products/3.jpeg
41,https://paperclip.link/assets/testing/images/products/3i.jpeg
42,https://paperclip.link/assets/testing/images/products/2.jpeg
42,https://paperclip.link/assets/testing/images/products/2i.jpeg
43,https://paperclip.link/assets/testing/images/products/7.jpeg
43,https://paperclip.link/assets/testing/images/products/7i.jpeg
44,https://paperclip.link/assets/testing/images/products/10.jpeg
44,https://paperclip.link/assets/testing/images/products/10i.jpeg
45,https://paperclip.link/assets/testing/images/products/8.jpeg
45,https://paperclip.link/assets/testing/images/products/8i.jpeg
46,https://paperclip.link/assets/testing/images/products/7.jpeg
46,https://paperclip.link/assets/testing/images/products/7i.jpeg
47,https://paperclip.link/assets/testing/images/products/10.jpeg
47,https://paperclip.link/assets/testing/images/products/10i.jpeg
48,https://paperclip.link/assets/testing/images/products/5.jpeg
48,https://paperclip.link/assets/testing/images/products/5i.jpeg
49,https://paperclip.link/assets/testing/images/products/1.jpeg
49,https://paperclip.link/assets/testing/images/products/1i.jpeg
