product_id,user_id,category_id,product_name,product_description,value,up_for_trade,public,sold,sold_date,posted_date
56,56,9,Peugeot 206,Unit most area PM wife fund gas.,7836,False,False,True,2018-07-08,2017-01-27
57,57,17,Studebaker Champion,Eight class better effort air indicate.,3039,False,True,False,,2017-01-29
58,58,5,Series/Defender,Democratic pay able.,2659,False,True,False,,2017-12-11
59,59,7,Ford F-Series,You best even skin dark many.,9998,True,True,False,,2017-05-21
60,60,8,Toyota Prius,Down across letter its series.,9320,True,False,True,2018-03-18,2017-10-06
61,61,19,Facellia,Film whole hand defense case present company.,4263,False,True,False,,2017-04-22
62,62,19,Chevrolet Impala,Nor rise paper page save care this.,6798,True,True,True,2018-09-26,2017-08-31
63,63,7,Volkswagen Gol,Past eight involve.,4026,True,False,False,,2017-02-19
64,64,15,Oldsmobile Cutlass,Stock lot employee number doctor.,9328,False,True,True,2018-09-11,2017-04-29
65,65,14,Fiat Uno,Age experience long can while rule.,5428,False,False,False,,2017-04-22
66,66,10,Fiat Uno,Short top since agree analysis final.,7894,True,True,True,2018-01-31,2017-06-30
67,67,0,De Tomaso Pantera,Do garden rule.,6397,False,False,False,,2017-08-23
68,68,18,Autobianchi A112,Peace perform sort include whole respond next.,5839,False,False,False,,2017-08-24
69,69,19,Renault Clio,Machine Democrat animal music their customer fine.,1514,True,True,True,2018-07-01,2017-12-04
70,70,0,Mitsubishi Lancer,Animal fill determine ball forward.,1071,False,True,True,2018-08-17,2017-07-26
71,71,15,Crosley,Rock candidate rate side.,3485,False,True,True,2018-07-23,2017-05-22
72,72,14,Zaporozhets,Enough suffer floor indeed measure itself near.,4195,False,True,False,,2017-03-23
73,73,12,Nash Statesman,Item audience activity we it.,6964,False,True,False,,2017-01-31
74,74,9,Saab 900,Call true evidence able.,8525,False,False,False,,2017-06-29
75,75,11,Volkswagen Gol,True car both body since send government.,2013,True,True,False,,2017-10-17
76,76,2,Chevrolet Volt,Real natural sister both since.,7535,False,True,False,,2017-08-26
77,77,8,Continental Mark II,Room student world since market either project.,6000,True,True,True,2018-02-02,2017-12-26
78,78,8,Hudson Super,East win bag and.,3637,False,False,True,2018-08-03,2017-02-21
79,79,11,Studebaker Champion,Night official great central knowledge.,1228,True,True,True,2018-04-03,2017-05-18
80,80,6,Messerschmitt KR200,Couple account indicate size discuss ten.,6419,False,False,False,,2017-01-26
81,81,2,Frazer Standard,Pattern trouble work character thus charge.,4916,True,False,False,,2017-02-15
82,82,5,Rambler Classic,Discuss respond partner south indeed night purpose.,8267,True,True,True,2018-02-11,2017-10-29
83,83,18,Renault Clio,Find space suggest they teach seven end.,5416,False,True,False,,2017-01-17
84,84,9,De Tomaso Pantera,People face teach bag.,908,False,False,False,,2017-08-13
85,85,15,Toyota Corolla,Body eat season form property lawyer.,3362,False,True,True,2018-06-12,2017-11-27
86,86,5,Eagle Talon,Main whether lead way expert.,371,False,True,False,,2017-09-20
87,87,6,Perodua Myvi,Down keep amount view sure of well.,6096,False,True,False,,2017-12-25
88,88,0,McLaren 12C,International single rich glass her end born.,7468,False,True,True,2018-09-18,2017-10-05
89,89,0,Volkswagen Beetle,Travel sister if case summer college.,2747,True,False,True,2018-04-25,2017-09-21
90,90,5,Series/Defender,Ago growth theory authority laugh space.,6485,True,False,True,2018-12-16,2017-12-23
91,91,9,Edsel Ranger,Ability decision a challenge.,2495,False,False,False,,2017-11-30
92,92,3,ZAZ Zaporozhets,Collection talk director speech hundred recognize operation.,6614,True,False,False,,2017-03-16
93,93,5,Fiat Uno,Can boy pressure think past foreign.,8756,False,True,True,2018-10-29,2017-11-03
94,94,3,Toyota Prius,Style wind throw determine.,4712,True,True,True,2018-04-18,2017-07-25
95,95,2,Zaporozhets,Month only customer rate article might ground.,9588,False,False,False,,2017-02-06
96,96,8,Ford F-Series,Ever government back figure me name seek agreement.,5635,False,True,False,,2017-07-20
97,97,13,Volkswagen Type 2,Goal building call suddenly indicate.,2316,True,True,True,2018-05-30,2017-08-30
98,98,4,Dodge Coronet,Condition research road even lead analysis local.,2481,False,True,False,,2017-12-22
99,99,5,Nash Statesman,House so evidence us huge by.,5064,True,False,False,,2017-05-04
100,100,3,Toyota Corolla,Organization price figure argue imagine citizen north.,2624,False,False,False,,2017-05-24
